time,state_0,state_1,state_2
167.0,0.166304,0.158987,0.674709
168.0,0.162705,0.157805,0.67949
169.0,0.159174,0.156722,0.684104
170.0,0.155806,0.155677,0.688517
171.0,0.152374,0.154604,0.693022
172.0,0.148906,0.15336,0.697734
173.0,0.145791,0.152014,0.702195
174.0,0.142608,0.150831,0.706561
175.0,0.13946,0.149514,0.711026
176.0,0.136278,0.148315,0.715407
177.0,0.133183,0.147126,0.719691
178.0,0.130201,0.145707,0.724092
179.0,0.127261,0.14444,0.728299
180.0,0.124293,0.143172,0.732535
181.0,0.121442,0.14176,0.736798
182.0,0.118524,0.140459,0.741017
183.0,0.115795,0.139029,0.745176
184.0,0.113071,0.137556,0.749373
185.0,0.11044,0.136137,0.753423
186.0,0.10779,0.134841,0.757369
187.0,0.105241,0.133362,0.761397
188.0,0.102687,0.13194,0.765373
189.0,0.100136,0.130561,0.769303
190.0,0.097741,0.129105,0.773154
191.0,0.095317,0.127662,0.777021
192.0,0.093025,0.126174,0.780801
193.0,0.090742,0.124672,0.784586
194.0,0.088591,0.123182,0.788227
195.0,0.086403,0.121814,0.791783
196.0,0.084281,0.120322,0.795397
197.0,0.082205,0.118883,0.798912
198.0,0.080119,0.117322,0.802559
199.0,0.078057,0.115938,0.806005
200.0,0.07602,0.114436,0.809544
201.0,0.074152,0.112811,0.813037
202.0,0.072252,0.111383,0.816365
203.0,0.070361,0.109987,0.819652
204.0,0.068568,0.108557,0.822875
205.0,0.066802,0.107056,0.826142
206.0,0.065114,0.105612,0.829274
207.0,0.063409,0.104096,0.832495
208.0,0.061757,0.102635,0.835608
209.0,0.060104,0.101244,0.838652
210.0,0.058503,0.099911,0.841586
211.0,0.056988,0.098479,0.844533
212.0,0.055453,0.097175,0.847372
213.0,0.053907,0.095873,0.85022
214.0,0.052425,0.094464,0.853111
215.0,0.050997,0.093063,0.85594
216.0,0.049595,0.091721,0.858684
217.0,0.048208,0.090352,0.86144
218.0,0.046838,0.089018,0.864144
219.0,0.045558,0.087645,0.866797
220.0,0.044293,0.086252,0.869455
221.0,0.043042,0.084887,0.872071
222.0,0.041805,0.083626,0.874569
223.0,0.040663,0.082274,0.877063
224.0,0.039492,0.080909,0.879599
225.0,0.038348,0.079631,0.882021
226.0,0.037266,0.078259,0.884475
227.0,0.036232,0.076872,0.886896
228.0,0.035142,0.075668,0.88919
229.0,0.034121,0.074464,0.891415
230.0,0.033093,0.073237,0.89367
231.0,0.032109,0.071911,0.89598
232.0,0.031166,0.070615,0.898219
233.0,0.030214,0.069397,0.900389
234.0,0.02939,0.068134,0.902476
235.0,0.028538,0.066904,0.904558
236.0,0.027655,0.065707,0.906638
237.0,0.026798,0.064459,0.908743
238.0,0.026028,0.063338,0.910634
239.0,0.025249,0.062204,0.912547
240.0,0.024446,0.061011,0.914543
241.0,0.023713,0.059843,0.916444
242.0,0.023009,0.058774,0.918217
243.0,0.022302,0.057613,0.920085
244.0,0.021613,0.056494,0.921893
245.0,0.020949,0.055403,0.923648
246.0,0.020302,0.054378,0.92532
247.0,0.019649,0.053304,0.927047
248.0,0.019055,0.052238,0.928707
249.0,0.018463,0.051227,0.93031
250.0,0.017897,0.05019,0.931913
251.0,0.017382,0.049194,0.933424
252.0,0.016814,0.048155,0.935031
253.0,0.016296,0.047194,0.93651
254.0,0.015728,0.046258,0.938014
255.0,0.015213,0.045304,0.939483
256.0,0.014689,0.044386,0.940925
257.0,0.014207,0.043471,0.942322
258.0,0.013729,0.042587,0.943684
259.0,0.013312,0.041625,0.945063
260.0,0.012889,0.040712,0.946399
261.0,0.012434,0.039862,0.947704
262.0,0.012002,0.039055,0.948943
263.0,0.011609,0.038225,0.950166
264.0,0.011231,0.037407,0.951362
265.0,0.010856,0.036625,0.952519
266.0,0.010461,0.035881,0.953658
267.0,0.010089,0.03504,0.954871
268.0,0.009749,0.034219,0.956032
269.0,0.009417,0.033459,0.957124
270.0,0.009108,0.032674,0.958218
271.0,0.008835,0.031938,0.959227
272.0,0.00853,0.03121,0.96026
273.0,0.00822,0.030565,0.961215
274.0,0.00792,0.029912,0.962168
275.0,0.007646,0.029199,0.963155
276.0,0.007396,0.02851,0.964094
277.0,0.007159,0.027822,0.965019
278.0,0.006892,0.027179,0.965929
279.0,0.006653,0.026471,0.966876
280.0,0.006446,0.025796,0.967758
281.0,0.006229,0.025202,0.968569
282.0,0.00601,0.024622,0.969368
283.0,0.005783,0.024072,0.970145
284.0,0.005569,0.023502,0.970929
285.0,0.005383,0.022896,0.971721
286.0,0.005182,0.022346,0.972472
287.0,0.005012,0.021767,0.973221
288.0,0.004835,0.021203,0.973962
289.0,0.004651,0.020696,0.974653
290.0,0.004478,0.020164,0.975358
291.0,0.004326,0.019655,0.976019
292.0,0.004185,0.019121,0.976694
293.0,0.004031,0.018609,0.97736
294.0,0.003879,0.018119,0.978002
295.0,0.003757,0.01765,0.978593
296.0,0.003593,0.01719,0.979217
297.0,0.003459,0.016729,0.979812
298.0,0.003326,0.016296,0.980378
299.0,0.003199,0.015854,0.980947
300.0,0.003071,0.015403,0.981526
