time,state_0,state_1,state_2
16.0,0.997984,0.000895,0.001121
32.0,0.995997,0.001729,0.002274
48.0,0.993874,0.002629,0.003497
64.0,0.991758,0.003541,0.004701
80.0,0.989762,0.004375,0.005863
96.0,0.987704,0.005247,0.007049
112.0,0.985688,0.006103,0.008209
128.0,0.983633,0.007006,0.009361
144.0,0.981641,0.007866,0.010493
160.0,0.979638,0.008728,0.011634
176.0,0.977637,0.009566,0.012797
192.0,0.97563,0.010424,0.013946
208.0,0.973649,0.011268,0.015083
224.0,0.971619,0.012092,0.016289
240.0,0.969675,0.012941,0.017384
256.0,0.967665,0.013769,0.018566
272.0,0.965643,0.01463,0.019727
288.0,0.963676,0.015431,0.020893
304.0,0.961755,0.016224,0.022021
320.0,0.959724,0.017067,0.023209
336.0,0.957744,0.017869,0.024387
352.0,0.95574,0.018714,0.025546
368.0,0.953803,0.019523,0.026674
384.0,0.951857,0.02027,0.027873
400.0,0.949892,0.021056,0.029052
416.0,0.947902,0.021849,0.030249
432.0,0.945988,0.022652,0.03136
448.0,0.944033,0.023447,0.03252
464.0,0.942117,0.0242,0.033683
480.0,0.940206,0.025013,0.034781
496.0,0.93829,0.025796,0.035914
512.0,0.93636,0.026584,0.037056
528.0,0.934447,0.027368,0.038185
544.0,0.932494,0.028187,0.039319
560.0,0.930584,0.028976,0.04044
576.0,0.928715,0.029753,0.041532
592.0,0.926844,0.030507,0.042649
608.0,0.924904,0.031324,0.043772
624.0,0.923004,0.032134,0.044862
640.0,0.921015,0.032948,0.046037
656.0,0.919132,0.033724,0.047144
672.0,0.917245,0.034453,0.048302
688.0,0.91537,0.035221,0.049409
704.0,0.913588,0.035927,0.050485
720.0,0.911662,0.036712,0.051626
736.0,0.909794,0.037472,0.052734
752.0,0.907921,0.038237,0.053842
768.0,0.905992,0.039049,0.054959
784.0,0.904202,0.039726,0.056072
800.0,0.902291,0.04052,0.057189
816.0,0.900482,0.041277,0.058241
832.0,0.898633,0.042012,0.059355
848.0,0.896785,0.042763,0.060452
864.0,0.894995,0.043465,0.06154
880.0,0.893166,0.044224,0.06261
896.0,0.891418,0.044935,0.063647
912.0,0.88954,0.045672,0.064788
928.0,0.887726,0.046343,0.065931
944.0,0.885898,0.047068,0.067034
960.0,0.884121,0.047754,0.068125
976.0,0.882276,0.048461,0.069263
992.0,0.880473,0.049122,0.070405
1008.0,0.878679,0.049869,0.071452
1024.0,0.876916,0.050547,0.072537
1040.0,0.875119,0.051251,0.07363
1056.0,0.873316,0.051943,0.074741
1072.0,0.871565,0.052567,0.075868
1088.0,0.869776,0.053259,0.076965
1104.0,0.868028,0.053936,0.078036
1120.0,0.866367,0.054547,0.079086
1136.0,0.864581,0.055237,0.080182
1152.0,0.862735,0.055939,0.081326
1168.0,0.860979,0.056598,0.082423
1184.0,0.859221,0.057298,0.083481
1200.0,0.857407,0.058019,0.084574
1216.0,0.855663,0.058681,0.085656
1232.0,0.853957,0.059313,0.08673
1248.0,0.852144,0.06003,0.087826
1264.0,0.850352,0.060717,0.088931
1280.0,0.848554,0.06141,0.090036
1296.0,0.846818,0.062091,0.091091
1312.0,0.844994,0.062763,0.092243
1328.0,0.843265,0.063465,0.09327
