0,1,0,0
12,0.99846,0.00067106,0.00087093
24,0.99692,0.0013398,0.0017412
36,0.99538,0.0020075,0.0026111
48,0.99385,0.002673,0.0034804
60,0.99231,0.0033365,0.0043492
72,0.99078,0.0039986,0.0052175
84,0.98926,0.0046588,0.0060853
96,0.98774,0.0053123,0.0069511
108,0.98622,0.0059646,0.0078165
120,0.9847,0.006617,0.008682
132,0.98318,0.0072693,0.0095475
144,0.98167,0.0079217,0.010413
156,0.98015,0.008574,0.011278
168,0.97863,0.0092264,0.012144
180,0.97712,0.0098705,0.013007
192,0.97562,0.01051,0.013868
204,0.97412,0.011149,0.01473
216,0.97262,0.011789,0.015592
228,0.97112,0.012428,0.016453
240,0.96962,0.013068,0.017315
252,0.96812,0.013707,0.018176
264,0.96662,0.014341,0.019036
276,0.96514,0.014968,0.019894
288,0.96365,0.015594,0.020752
300,0.96217,0.016221,0.02161
312,0.96069,0.016848,0.022467
324,0.9592,0.017474,0.023325
336,0.95772,0.018101,0.024183
348,0.95624,0.018725,0.02504
360,0.95477,0.019339,0.025893
372,0.9533,0.019953,0.026747
384,0.95183,0.020567,0.027601
396,0.95036,0.021181,0.028455
408,0.9489,0.021795,0.029309
420,0.94743,0.02241,0.030163
432,0.94596,0.023023,0.031016
444,0.94454,0.023601,0.031859
456,0.94312,0.024179,0.032701
468,0.9417,0.024756,0.033543
480,0.94028,0.025334,0.034385
492,0.93886,0.025912,0.035227
504,0.93744,0.02649,0.03607
516,0.93602,0.027068,0.036912
528,0.9346,0.027645,0.037754
540,0.93318,0.028223,0.038596
552,0.93176,0.028801,0.039438
564,0.93034,0.029379,0.040281
576,0.92892,0.029957,0.041123
588,0.9275,0.030534,0.041965
600,0.92608,0.031112,0.042807
612,0.92466,0.03169,0.043649
624,0.92324,0.032268,0.044492
636,0.92182,0.032846,0.045334
648,0.9204,0.033423,0.046176
660,0.91898,0.034001,0.047018
672,0.91756,0.034579,0.047861
684,0.91614,0.035157,0.048703
696,0.91472,0.035734,0.049545
708,0.9133,0.036312,0.050387
720,0.91188,0.03689,0.051229
732,0.91046,0.037468,0.052072
744,0.90904,0.038046,0.052914
756,0.90762,0.038623,0.053756
768,0.9062,0.039201,0.054598
780,0.90478,0.039779,0.05544
792,0.90336,0.040357,0.056283
804,0.90194,0.040935,0.057125
816,0.90052,0.041512,0.057967
828,0.8991,0.04209,0.058809
840,0.89768,0.042668,0.059651
