state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,system_3.5,system_2.0,system_1.8,system_1.5,system_0
0.9894613971352406,0.0027194941928127907,0.003902785105378418,0.0038742065829503103,1.0726645284598967e-05,1.0648098384225773e-05,1.5281238652538993e-05,5.382916233690341e-06,4.199985961537458e-08,1.4794725170897142e-08,2.1232122204179096e-08,5.835561971839246e-11,0.9894613971352406,0.0027194941928127907,0.003884854681334536,0.003918066344030957,1.6187646580899478e-05
0.97942652362427,0.005284961298197524,0.007618794896822595,0.007508393842638882,4.111082883442443e-05,4.051510747649811e-05,5.840653822601294e-05,2.070504917334664e-05,3.151602357510272e-07,1.1172393325994692e-07,1.6106110992036894e-07,8.690817657439751e-10,0.97942652362427,0.005284961298197524,0.00754890895011538,0.007677201435048608,6.240469236846816e-05
0.9698681304519308,0.00770629634157522,0.011158899446377938,0.010918931878172305,8.866544149621364e-05,8.675872744417286e-05,0.00012562869019482157,4.481500585672143e-05,9.982098444600163e-07,3.560872914964244e-07,5.156228237037859e-07,4.096992318003486e-09,0.9698681304519308,0.00770629634157522,0.011005690605616479,0.01128452813657276,0.0001353544643049133
0.9607606632140094,0.009992670059380756,0.014533206350144498,0.01412096817366447,0.00015115682971040002,0.00014686922693775504,0.000213604649096647,7.667056479607381e-05,2.221657134079667e-06,7.974344564759549e-07,1.159778061099942e-06,1.2062608254488416e-08,0.9607606632140094,0.009992670059380756,0.014267837400602223,0.014746810999241146,0.00023201832676638385
0.9520801417279555,0.012152588304515991,0.01775112211778303,0.01712852676951636,0.00022657974847483463,0.00021863278622220476,0.0003193539672317614,0.00011532848703518606,4.076313660043116e-06,1.4720815625642748e-06,2.1502497187948658e-06,2.7446323517453566e-08,0.9520801417279555,0.012152588304515991,0.017347159555738564,0.018070476085014792,0.0003496343267749405
0.9438040492056331,0.014193946123602133,0.020821408141863125,0.01995459878155663,0.0003131348563633317,0.0003000988396499247,0.00044022151196279917,0.0001599353108631556,6.620527246635272e-06,2.4052801930271962e-06,3.528357805394514e-06,5.30632609986344e-08,0.9438040492056331,0.014193946123602133,0.020254697621206554,0.021261629653825925,0.00048567739573254293
0.9359112301588532,0.016124077017911926,0.02375223175833616,0.022611225071933153,0.00040920848246868625,0.00038955097746536246,0.0005738440152676678,0.00020971903092053745,9.886306307996008e-06,3.6130839097963195e-06,5.322401170154558e-06,9.16954553192349e-08,0.9359112301588532,0.016124077017911926,0.023000776049398514,0.02432607577360383,0.0006378410002324898
0.9283817962855297,0.017949797847940027,0.026551212858509494,0.02510957179682438,0.0005133544252318509,0.0004854810161128091,0.0007181200538732512,0.0002639815728747046,1.3884492187535509e-05,5.103951722923381e-06,7.549728958671554e-06,1.4597023461371e-07,0.9283817962855297,0.017949797847940027,0.02559505281293719,0.027269332912382746,0.0008040201412102995
0.9211970396537846,0.019677449795153887,0.02922546646730607,0.027459999485310038,0.0006242775697222222,0.0005865658898016197,0.0008711831015564146,0.000322091984143958,1.8609115102785783e-05,6.880122899435548e-06,1.021853965740622e-05,2.182755615063331e-07,0.9211970396537846,0.019677449795153887,0.028046565375111656,0.030096649568862485,0.000982295607087314
0.9143393525640536,0.021312935752953198,0.03178164166174122,0.029672126240240106,0.0007408191334656776,0.0006916470547158824,0.0010313773336614615,0.0003834802694422201,2.40410508283782e-05,8.938793154016259e-06,1.3329441058818254e-05,3.107046854241849e-07,0.9143393525640536,0.021312935752953198,0.030363773294955987,0.032813018995402676,0.0011709193926345346
